Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %,Year
291,Home,386041607,177397510,0.45952950869360565,208644097,0.5404704913063944,2015
292,Star Trek,385680446,257730019,0.6682475652395403,127950427,0.3317524347604597,2009
293,1917,384983987,159227644,0.4135954984538097,225756343,0.5864045015461903,2019
294,Happy Feet,384335608,198000317,0.515175572803028,186335291,0.48482442719697205,2006
295,Cars 3,383930656,152901115,0.3982519046356121,231029541,0.6017480953643879,2017
296,Ice Age,383257136,176387405,0.4602325395449388,206869731,0.5397674604550612,2002
297,Fifty Shades Darker,381545846,114581250,0.3003079477898444,266964596,0.6996920522101556,2017
298,Monsters vs. Aliens,381509870,198351526,0.5199119121085911,183158344,0.48008808789140894,2009
299,Black Widow,379192284,183647459,0.4843122256148018,195544825,0.5156877743851982,2021
300,Slumdog Millionaire,378410113,141319928,0.37345705927262046,237090185,0.6265429407273796,2008
301,Taken 2,376141306,139854287,0.3718131584304118,236287019,0.6281868415695883,2012
